,Category,Show,Synopsis
83,Positive,Next To Normal,"Next to Normal (stylized as next to normal) is a 2008 American rock musical with book and lyrics by Brian Yorkey and music by Tom Kitt.  The story centers on a mother who struggles with worsening bipolar disorder and the effects that managing her illness has on her family.  The musical addresses grief, suicide, drug abuse, ethics in modern psychiatry, and the underbelly of suburban life.
Before its Off-Broadway debut, Next to Normal received several workshop performances and won the Outer Critics Circle Award for Outstanding New Score and received Drama Desk Awards nominations for Outstanding Actress (Alice Ripley) and Outstanding Score. After its Off-Broadway run, the show played from November 2008 to January 2009 at the Arena Stage while the theater was in its temporary venue in Virginia.
The musical opened on Broadway in April 2009. It was nominated for eleven Tony Awards that year and won three: Best Original Score, Best Orchestration, and Best Performance by a Leading Actress in a Musical for Alice Ripley.  It also won the 2010 Pulitzer Prize for Drama, becoming the eighth musical in history to receive the honor.  Rent, which was also directed by Michael Greif,  was the last musical to win the Pulitzer, in 1996.  In awarding the prize to Kitt and Yorkey, the Pulitzer Board called the show ""a powerful rock musical that grapples with mental illness in a suburban family and expands the scope of subject matter for musicals.""The first US national tour launched in November 2010, with Alice Ripley reprising her Broadway role; the tour concluded in July 2011. The Broadway production closed in January 2011 after more than 700 performances. There have been numerous international productions."
84,Neutral,Nice Work If You Can Get It,"Nice Work If You Can Get It is a musical featuring songs by George and Ira Gershwin, with a book written by Joe DiPietro, and based on material by Guy Bolton and P. G. Wodehouse.  Nice Work premiered on Broadway in April 2012."
85,Positive,On A Clear Day You Can See Forever,On a Clear Day You Can See Forever is a 1970 American musical comedy-drama fantasy film directed by Vincente Minnelli. The screenplay by Alan Jay Lerner is adapted from his book for the 1965 stage production of the same name. The songs feature lyrics by Lerner and music by Burton Lane. The American Film Institute has listed On a Clear Day You Can See Forever as one of the 100 greatest musical films ever.
86,Positive,On the Town (musical),"On the Town is a musical with music by Leonard Bernstein and book and lyrics by Betty Comden and Adolph Green, based on Jerome Robbins' idea for his  1944 ballet Fancy Free, which he had set to Bernstein's music. The musical introduced several popular and classic songs, among them ""New York, New York"", ""Lonely Town"", ""I Can Cook, Too"" (for which Bernstein also wrote the lyrics), and ""Some Other Time"".  The story concerns three American sailors on a 24-hour shore leave in New York City during wartime 1944. Each of the three sailors meets and quickly connects with a woman.
On the Town was first produced on Broadway in 1944 and was made into a film in 1949, although the film replaced all but three of the original Broadway songs with Hollywood-written substitutes. The show has enjoyed a number of major revivals. The musical integrates dance into its storytelling: Robbins made a number of ballets and extended dance sequences for the show, including the ""Imaginary Coney Island"" ballet."
87,Positive,On The Twentieth Century,"On the Twentieth Century is a musical with book and lyrics by Betty Comden and Adolph Green and music by Cy Coleman. Based partly on the 1930s film and play of the same name, the musical is part operetta, part farce and part screwball comedy. The story involves the behind-the-scenes relationship between Lily, a temperamental actress and Oscar, a bankrupt theatre producer. On a luxury train traveling from Chicago to New York in the 1920s, Oscar tries to cajole the glamorous Hollywood star into playing the lead in his new, but not-yet-written drama, and perhaps to rekindle their romance.
The musical ran on Broadway in 1978–1979, running for 449 performances and winning five Tony Awards. It showcased Madeline Kahn in the role of Lily Garland, and when Kahn left the show, the role launched the career of Judy Kaye. Several revivals followed in London and elsewhere, and a 2015 Broadway revival featured Kristin Chenoweth and Peter Gallagher.

"
88,Positive,On Your Feet!,"On Your Feet! is a jukebox musical that played on Broadway at the Marquis Theatre. Based on the lives and music of 26-time Grammy Award-winning husband-and-wife team Gloria and Emilio Estefan, the musical has a book written by Alexander Dinelaris and a score built around the Cuban-fusion pop music made famous by Gloria Estefan. The songs featured include ""Get on Your Feet,"" ""Conga,"" ""1-2-3,"" and ""Rhythm Is Gonna Get You."" The musical also features the original song ""If I Never Got to Tell You"" with lyrics by Gloria Estefan and music by her daughter Emily Estefan.After playing on Broadway for two years, Gloria Estefan announced there are several international productions in the works. The Dutch adaptation was the first to launch. In the presence of Gloria and Emilio Estefan, a fully Dutch cast performed the musical for the first time in Utrecht, Netherlands on October 17, 2017. International tours and sit down productions have also been announced for Germany, Italy, Mexico, Japan and France.
After a pre-Broadway engagement in Chicago during the summer of 2015, On Your Feet! opened on Broadway on November 5, 2015. It opened to positive reviews and box office success. The musical received seven Outer Critics Circle Award nominations, three Drama League Award nominations and a Tony Award nomination for Best Choreography."
89,Positive,Once,"Once is a musical based on the 2007 film of the same name by John Carney. Like the film, music and lyrics were by Glen Hansard and Markéta Irglová, including the Academy Award-winning ""Falling Slowly"". The book for the musical was written by Enda Walsh. The musical premiered at the New York Theatre Workshop in 2011, before transferring to Broadway in 2012. The production received eleven 2012 Tony Award nominations, and won eight including Best Musical, Best Actor and Best Book. The musical also won the 2012 Drama Desk Award for Outstanding Musical and the 2013 Grammy Award for Best Musical Theater Album. It has since spawned a London production, with a North American Tour which started on 1 October 2013.
In the musical, the cast also serves as the orchestra. A minimalist set is used, including a bar in center stage with chairs lining stage left and right. Exiting cast members simply step to the side of the stage and sit down. They serve as the orchestra from these chairs. The bar is used before the show and at intermission as a working bar for theater patrons."
90,Positive,Pal Joey,"Pal Joey is a musical with a book by John O'Hara and music and lyrics by Richard Rodgers and Lorenz Hart. The musical is based on a character and situations O'Hara created in a series of short stories published in The New Yorker, which he later published in novel form. The title character, Joey Evans, is a manipulative small-time nightclub performer whose ambitions lead him into an affair with the wealthy, middle-aged and married Vera Simpson. It includes two songs that have become standards: ""I Could Write a Book"" and ""Bewitched, Bothered and Bewildered"".
The original 1940 Broadway production was directed by George Abbott and starred Vivienne Segal and Gene Kelly. Though it received mixed reviews, the show ran for 10 months, the third-longest run of any Rodgers and Hart musical. There have been several revivals since, including a 2008–09 Broadway run, and a 1957 film adaptation starring Frank Sinatra, Rita Hayworth and Kim Novak."
91,Neutral,Paramour,"Paramour was Cirque du Soleil's first resident musical theatre show at the Lyric Theatre on Broadway, New York City. Paramour was themed to the ""Golden age of Hollywood"" and followed the life of ""a poet who is forced to choose between love and art"". It had similar elements to Cirque du Soleil's retired Los Angeles resident show in Iris (which was also themed on cinema) written and created by Philippe Decouflé, and had a 38-person onstage cast with actress Ruby Lewis in the lead as Indigo. Paramour began preview shows on April 16, 2016, with an official premiere on May 25, 2016. It closed exactly one year after its first preview show, on 16 April 2017.
During previews, Paramour got off to a strong start and grossed over $1 million in its first six shows.The show was directed by French director-choreographer Philippe Decouflé, who was also the director of the cinema themed Cirque du Soleil show Iris. The rest of the creative team was also the same as for Iris apart from the assistant directors, composer and sound designer. Scenes from Iris, such as aerial straps performed by the Atherton twins (who also performed in Iris), were incorporated into Paramour.The show closed on Broadway on 16 April 2017 after 31 previews and 366 performances. Despite average box office sales, Cirque was allegedly paid $23 million to terminate its contract early, in order to vacate the Lyric and allow for the necessary renovations for the show's successor, Harry Potter and the Cursed Child which had a sold out track record since opening on the West End.Paramour is scheduled to reopen in April 2019 in Hamburg, Germany."
92,Positive,Passing Strange,"Passing Strange is a comedy-drama rock musical about a young African American's artistic journey of self-discovery in Europe, with strong elements of philosophical existentialism, metafiction (especially self-referential humor), and the artistic journey. The musical's lyrics and book are by Stew with music and orchestrations by Heidi Rodewald and Stew. It was created in collaboration with director Annie Dorsen.
The musical was developed at the Sundance Institute Theatre Lab in 2004 and 2005, one of the few works to be invited back for a second round of development.  It had productions in Berkeley, California and Off-Broadway before opening on Broadway in 2008, garnering strong reviews and several awards. Spike Lee filmed the musical on Broadway in July 2008, premiering the film in 2009."
93,Positive,Pippin,"Pippin is a 1972 musical with music and lyrics by Stephen Schwartz and a book by Roger O. Hirson. Bob Fosse, who directed the original Broadway production, also contributed to the libretto. The musical uses the premise of a mysterious performance troupe, led by a Leading Player, to tell the story of Pippin, a young prince on his search for meaning and significance.
The protagonist Pippin and his father Charlemagne are characters derived from two real-life individuals of the early Middle Ages, though the plot is fictional and presents no historical accuracy regarding either.  The show was partially financed by Motown Records. As of February 2018, the original run of Pippin is the 34th longest-running Broadway show.
Ben Vereen and Patina Miller won Tony Awards for their portrayals of the Leading Player in the original Broadway production and the 2013 revival, respectively, making them the first actors to win Tonys for Best Leading Actor and Best Leading Actress in a Musical, for the same role."
94,Positive,Porgy And Bess '11,"Porgy and Bess is an English-language opera by the American composer George Gershwin, with a libretto written by author DuBose Heyward and lyricist Ira Gershwin. It was adapted from Dorothy Heyward and DuBose Heyward's play Porgy, itself an adaptation of DuBose Heyward's 1925 novel of the same name.
Porgy and Bess was first performed in Boston on September 30, 1935, before it moved to Broadway in New York City. It featured a cast of classically trained African-American singers—a daring artistic choice at the time. After suffering from an initially unpopular public reception due in part to its racially charged theme, a 1976 Houston Grand Opera production gained it new popularity, and it is now one of the best-known and most frequently performed operas.
Gershwin read Porgy in 1926 and proposed to Heyward to collaborate on an operatic version. In 1934, Gershwin and Heyward began work on the project by visiting the author's native Charleston, South Carolina. In a 1935 New York Times article, Gershwin explained why he called Porgy and Bess a folk opera: 

Porgy and Bess is a folk tale. Its people naturally would sing folk music. When I first began work in the music I decided against the use of original folk material because I wanted the music to be all of one piece. Therefore I wrote my own spirituals and folksongs. But they are still folk music – and therefore, being in operatic form, Porgy and Bess becomes a folk opera.
The libretto of Porgy and Bess tells the story of Porgy, a disabled black street-beggar living in the slums of Charleston. It deals with his attempts to rescue Bess from the clutches of Crown, her violent and possessive lover, and Sportin' Life, her drug dealer. The opera plot generally follows the stage play.
In the years following Gershwin's death, Porgy and Bess was adapted for smaller scale performances. It was adapted as a film in 1959. Some of the songs in the opera, such as ""Summertime"", became popular and frequently recorded songs.
In the late 20th and early 21st centuries, the trend has been toward productions with greater fidelity to Gershwin's original intentions. Smaller-scale productions also continue to be mounted. A complete recorded version of the score was released in 1976; since then, it has been recorded several times."
95,Neutral,Priscilla Queen Of The Desert,"Priscilla, Queen of the Desert is a musical with a book by Australian film director-writer Stephan Elliott and Allan Scott, using well-known pop songs as its score. Adapted from Elliott's 1994 film The Adventures of Priscilla, Queen of the Desert, the musical tells the story of two drag queens and a transgender woman, who contract to perform a drag show at a resort in Alice Springs, a resort town in the remote Australian desert. As they head west from Sydney aboard their lavender bus, Priscilla, the three friends come to the forefront of a comedy of errors, encountering a number of strange characters, as well as incidents of homophobia, while widening comfort zones and finding new horizons.
Produced by Allan Scott in coalition with Back Row Productions, Michael Chugg, Michael Hamlyn and John Frost, the Simon Phillips-directed and Ross Coleman-choreographed original production of Priscilla debuted in Australia at the Lyric Theatre, Sydney in October 2006. Having had a successful run in Sydney, the production transferred to Melbourne in 2007 and then Auckland, New Zealand in 2008, before returning to Sydney for a limited engagement. The Australasian success of Priscilla provoked a two-year strong West End production in addition to its Bette Midler-produced Broadway debut in 2011. While the original production received one out of its seven Helpmann Award nominations, Priscilla was nominated for the Laurence Olivier Award for Best New Musical as well as two Tony Awards, winning these awards in the costume design categories."
96,Positive,"Promises, Promises","Promises, Promises is a musical that premiered in 1968, based on the 1960 film The Apartment. The music is by Burt Bacharach, lyrics by Hal David, and book by Neil Simon.  Musical numbers for the original Broadway production were choreographed by Michael Bennett. Robert Moore directed, and David Merrick produced. The story concerns a junior executive at an insurance company who seeks to climb the corporate ladder by allowing his apartment to be used by his married superiors for trysts.
The original Broadway production premiered in 1968, with Jerry Orbach as Chuck Baxter and Jill O'Hara as Fran Kubelik and ran for 1,281 performances.  A London production opened in 1969 featuring Tony Roberts and Betty Buckley. The cast album won the Grammy Award for Best Musical Theater Album, and two songs from the show (the title tune and ""I'll Never Fall in Love Again"") became hit singles for Dionne Warwick."
97,Neutral,Ragtime '09,"Ragtime is a musical with a book by Terrence McNally, lyrics by Lynn Ahrens, and music by Stephen Flaherty. The music includes marches, cakewalks, gospel and ragtime.
Based on the 1975 novel by E. L. Doctorow, Ragtime tells the story of three groups in the United States in the early 20th century: African Americans, represented by Coalhouse Walker Jr., a Harlem musician; upper-class suburbanites, represented by Mother, the matriarch of a white upper-class family in New Rochelle, New York; and Eastern European immigrants, represented by Tateh, a Jewish immigrant from Latvia.
Historical figures including Harry Houdini, Evelyn Nesbit, Booker T. Washington, J. P. Morgan, Henry Ford, Stanford White, Harry Kendall Thaw, Admiral Peary, Matthew Henson, and Emma Goldman are represented in the stories."
98,Neutral,Rain: A Tribute To The Beatles On Broadway,"Rain: A Tribute to the Beatles, styled RAIN, is a Beatles tribute and later a theatrical production. Rain gives audiences the experience of seeing Beatles' songs performed live that were never done so by the band itself. The longest-running Beatles tribute act, it predates the popular Broadway show Beatlemania by several years. Rain has played Broadway, and toured for years.
The show takes the form of a roughly chronological history of The Beatles via their music. About 30 songs are performed during the show. Other than some onstage banter, there is very little dialogue during the production, which consists mostly of exact re-enactments of the Beatles' music. The multimedia production uses high-definition backdrops that feature psychedelic effects, vintage television commercials, and video footage of Rain cast members recreating iconic Beatle moments. For legal reasons, Rain never calls its performers the names of the actual members of The Beatles.Each production of Rain features two performers for each member of the Beatles, who alternate shows; plus an off-stage keyboardist to replicate the studio sounds familiar from later Beatles records."
99,Neutral,Rent,"Rent is a rock musical with music, lyrics, and book by Jonathan Larson, loosely based on Giacomo Puccini's opera La Bohème. It tells the story of a group of impoverished young artists struggling to survive and create a life in Lower Manhattan's East Village in the thriving days of Bohemian Alphabet City, under the shadow of HIV/AIDS.
The musical was first seen in a workshop production at New York Theatre Workshop in 1993. This same Off-Broadway theatre was also the musical's initial home following its official 1996 opening. The show's creator, Jonathan Larson, died suddenly of an aortic dissection, believed to have been caused by undiagnosed Marfan syndrome, the night before the Off-Broadway premiere. The musical moved to Broadway's larger Nederlander Theatre on April 29, 1996.On Broadway, Rent gained critical acclaim and won several awards. The Broadway production closed on September 7, 2008, after a 12-year run of 5,123 performances. On February 14, 2016, the musical Wicked surpassed Rent's number of performances with a 2pm matinee, pushing Rent from the tenth- to eleventh-longest-running Broadway show. The production grossed over $280 million.The success of the show led to several national tours and numerous foreign productions. In 2005, it was adapted into a motion picture featuring most of the original cast members."
100,Neutral,Rock Of Ages,"Rock of Ages is a jukebox musical built around classic rock songs from the 1980s, especially from the famous glam metal bands of that decade. The musical features songs from Styx, Journey, Bon Jovi, Pat Benatar, Twisted Sister, Steve Perry, Poison and Europe, among other well-known rock bands. It was written by Chris D'Arienzo, directed by Kristin Hanggi and choreographed by Kelly Devine with music supervision, arrangements and orchestrations by Ethan Popp.
During the performance, the performers frequently break the ""fourth wall"", directly addressing the audience and seemingly forgetting (or perhaps reminding the audience) that they are actors in a musical. Despite the musical's title, the Def Leppard song of the same name is not included in the musical.
The original Broadway production ran for 2,328 performances, closing on January 18, 2015 tied as the 29th-longest running show in Broadway history. Since debuting on the Great White Way in 2009, it has spawned replica productions worldwide in Japan, Australia and the United Kingdom among others, as well as several touring productions."
101,Neutral,Rocky,"Rocky: The Musical (originally Rocky: Das Musical)  is a 2012 musical with music by Stephen Flaherty, lyrics by Lynn Ahrens, and a book by Thomas Meehan and Sylvester Stallone, based on the 1976 film of the same name written by Stallone. The show held its world premiere in Hamburg in 2012 and opened on Broadway in 2014 at the Winter Garden Theatre.

"
102,Neutral,Scandalous,"Scandalous: The Life and Trials of Aimee Semple McPherson is a musical with a book and lyrics by Kathie Lee Gifford and music by David Pomeranz and David Friedman. The musical has had productions in 2005 at the White Plains, New York Performing Arts Center, at the Signature Theatre in 2007, in 2011 at the 5th Avenue Theatre in Seattle and in 2012 on Broadway. The musical is based on the life of Aimee Semple McPherson.

"
103,Neutral,School Of Rock,"School of Rock is a rock musical with music by Andrew Lloyd Webber, lyrics by Glenn Slater and a book by Julian Fellowes. Based on the 2003 film of the same name, written by Mike White, the musical follows Dewey Finn, an out-of-work rock singer and guitarist who pretends to be a substitute teacher at a prestigious prep school. After identifying the musical talent in his students, Dewey forms a band of fifth-graders, in an attempt to win the upcoming Battle of the Bands contest.
The musical was announced in December 2014 and opened just under a year later on December 6, 2015. Prior to School of Rock's debut, staged concerts were held at the Gramercy Theatre in Manhattan in June 2015. It made its Broadway debut and world premiere at the Winter Garden Theatre on December 6, 2015 following previews that began on November 9, 2015, with direction by Laurence Connor and choreography by JoAnn M. Hunter, and starring Alex Brightman and Sierra Boggess as Dewey Finn and Rosalie Mullins, respectively. The musical made its West End debut at the Gillian Lynne Theatre on November 14, 2016."
104,Neutral,She Loves Me 2016,"She Loves Me is a musical with a book by Joe Masteroff, lyrics by Sheldon Harnick, and music by Jerry Bock.
The musical is the third adaptation of the 1937 play Parfumerie by Hungarian playwright Miklós László, following the 1940 James Stewart-Margaret Sullavan film The Shop Around the Corner and the 1949 Judy Garland-Van Johnson musical version In the Good Old Summertime. It surfaced again in 1998 as the Tom Hanks-Meg Ryan feature You've Got Mail. The plot revolves around Budapest shop employees Georg Nowack and Amalia Balash who, despite being consistently at odds with each other at work, are unaware that each is the other's secret pen pal met through lonely-hearts ads.
The musical premiered on Broadway in 1963, and subsequently had productions in the West End in 1964 and award-winning revivals on each side of the Atlantic in the 1990s, as well as regional productions. She Loves Me was revived again on Broadway in 2016, and the production became the first Broadway show ever to be live-streamed."
105,Neutral,Shrek The Musical,"Shrek The Musical is a musical with music by Jeanine Tesori and book and lyrics by David Lindsay-Abaire. It is based on the 2001 DreamWorks Animation film Shrek and William Steig's 1990 book Shrek!. After a trial run in Seattle, the original Broadway production opened in December 2008 and closed after a run of over 12 months in January 2010. It was followed by a tour of the United States which opened in 2010, and a re-vamped West End production from June 2011 to February 2013. Since its debut, the musical's rights have been available for independent theaters overseas, who have chosen to stage their own versions.
A high definition filming of the Broadway production was released on DVD, Blu-ray and digital download on October 15, 2013 in North America and December 2, 2013 in the United Kingdom. The digital version of the film is now available on Netflix as of January 2014."
106,Positive,Shuffle Along,"Shuffle Along is a musical with music and lyrics by Noble Sissle and Eubie Blake, and a thin revue-style connecting plot about a mayoral race, written by Flournoy Miller and Aubrey Lyles.The piece premiered on Broadway in 1921, running for 504 performances – an unusually long run during that decade. It launched the careers of Josephine Baker, Adelaide Hall, Florence Mills, Fredi Washington and Paul Robeson, and became such a hit that it caused ""curtain time traffic jams"" on West 63rd Street. It had brief revivals in 1933 and 1952. 
Shuffle Along, or, the Making of the Musical Sensation of 1921 and All That Followed is a musical adaptation based on the original book of the 1921 musical, focusing on the challenges of mounting the original production of Shuffle Along and its effect on Broadway and race relations."
107,Negative,Side Show 2014,"Side Show is a musical by Bill Russell (book and lyrics) and Henry Krieger (music) based on the lives of Daisy and Violet Hilton, conjoined twins who became famous stage performers in the 1930s.
The musical opened October 16, 1997, on Broadway; Robert Longbottom directed and choreographed, and the cast starred Emily Skinner as Daisy and Alice Ripley as Violet. Despite receiving some positive reviews, the show closed after 91 performances.  A Broadway revival opened in November 2014, and closed after 56 performances."
108,Neutral,Sister Act,"Sister Act is a musical based on the hit 1992 film of the same name with music by Alan Menken, lyrics by Glenn Slater, book by Bill and Cheri Steinkellner, and additional book material by Douglas Carter Beane. After having a regional premiere in 2006 in Pasadena, California, the original West End production opened on June 2, 2009 at the London Palladium, starring Patina Miller and produced by Stage Entertainment and Whoopi Goldberg. Subsequent productions have been seen on Broadway and in many countries around the world."
109,Neutral,Something Rotten!,"Something Rotten! is an original musical comedy with a book by John O'Farrell and Karey Kirkpatrick and music and lyrics by Karey and Wayne Kirkpatrick.  Set in 1595, the story follows the Bottom brothers, Nick and Nigel, who struggle to find success in the theatrical world, as they compete with the wild popularity of their contemporary William Shakespeare.
Something Rotten! opened on Broadway at the St. James Theatre in previews on March 23, 2015, and officially opened on April 22, 2015. It was nominated for ten Tony Awards, including Best Musical, and won one (Christian Borle as Best Featured Actor in a Musical). Its cast album received a nomination for the 2016 Grammy Award for Best Musical Theater Album."
110,Neutral,Soul Doctor,"Soul Doctor - Journey of a Rockstar Rabbi is a Broadway musical that details the life of Rabbi Shlomo Carlebach, with music and lyrics by Shlomo Carlebach and David Schechter, and book and direction by Daniel Wise. The Soul Doctor show debuted at Le Petit Theatre du Vieux Carre in New Orleans, and had subsequent runs at The Colony Theater in Miami, The Parker Playhouse in Ft Lauderdale, and The New York Theatre Workshop in New York City. The Broadway production started previews in July 2013 with its official opening night taking place August 15, 2013 at Broadway's Circle in the Square Theatre.

"
111,Positive,South Pacific,"South Pacific is a musical composed by Richard Rodgers, with lyrics by Oscar Hammerstein II and book by Hammerstein and Joshua Logan. The work premiered in 1949 on Broadway and was an immediate hit, running for 1,925 performances. The plot is based on James A. Michener's Pulitzer Prize-winning 1947 book Tales of the South Pacific and combines elements of several of those stories. Rodgers and Hammerstein believed they could write a musical based on Michener's work that would be financially successful and, at the same time, send a strong progressive message on racism.
The plot centers on an American nurse stationed on a South Pacific island during World War II, who falls in love with a middle-aged expatriate French plantation owner but struggles to accept his mixed-race children. A secondary romance, between a U.S. lieutenant and a young Tonkinese woman, explores his fears of the social consequences should he marry his Asian sweetheart. The issue of racial prejudice is candidly explored throughout the musical, most controversially in the lieutenant's song, ""You've Got to Be Carefully Taught"".  Supporting characters, including a comic petty officer and the Tonkinese girl's mother, help to tie the stories together.  Because he lacked military knowledge, Hammerstein had difficulty writing that part of the script; the director of the original production, Logan, assisted him and received credit as co-writer of the book.
The original Broadway production enjoyed immense critical and box-office success, became the second-longest running Broadway musical to that point (behind Rodgers and Hammerstein's earlier Oklahoma! (1943)), and has remained popular ever since. After they signed Ezio Pinza and Mary Martin as the leads, Rodgers and Hammerstein wrote several of the songs with the particular talents of their stars in mind.  The piece won the Pulitzer Prize for Drama in 1950.  Especially in the Southern U.S., its racial theme provoked controversy, for which its authors were unapologetic. Several of its songs, including ""Bali Ha'i"", ""I'm Gonna Wash That Man Right Outa My Hair"", ""Some Enchanted Evening"", ""There Is Nothing Like a Dame"", ""Happy Talk"", ""Younger Than Springtime"", and ""I'm in Love with a Wonderful Guy"", have become popular standards.
The production won ten Tony Awards, including Best Musical, Best Score, and Best Libretto, and it is the only musical production to win Tony Awards in all four acting categories. Its original cast album was the bestselling record of the 1940s, and other recordings of the show have also been popular. The show has enjoyed many successful revivals and tours, spawning a 1958 film and television adaptations. The 2008 Broadway revival, a critical success, ran for 996 performances and won seven Tonys, including Best Musical Revival."
112,Negative,Spider-Man Turn Off The Dark,"Spider-Man: Turn Off the Dark is a musical with music and lyrics by Bono and The Edge, and a book by Julie Taymor and Glen Berger, with revisions by Roberto Aguirre-Sacasa.
The musical is based on the Spider-Man comics created by Stan Lee and Steve Ditko, published by Marvel Comics, as well as the 2002 film and the Greek myth of Arachne. It tells Spider-Man's origin story, his romance with Mary Jane and his battles with the Green Goblin. The show includes highly technical stunts, such as aerial combat scenes and actors swinging from ""webs"".The Broadway production was notorious for its many troubles. Several actors were injured performing stunts and the opening night was repeatedly pushed back to give the creative team more time to work, causing some critics to review the 'unfinished' production in protest. Following negative reviews, Spider-Man: Turn Off the Dark suspended performances for a month to retool the show. Long-time Spider-Man comics writer Roberto Aguirre-Sacasa was brought in to revise the story and book. Director Julie Taymor, whose vision had driven the concept of the musical, was replaced by creative consultant Philip William McKinley. By the time Spider-Man: Turn Off the Dark officially opened on June 14, 2011, it had set the record for the longest preview period in Broadway history – 182 performances.Critical reception of the opening was better than for the previews, but mixed, with praise for the visual effects but little enthusiasm for the book and score. Spider-Man: Turn Off the Dark is the most expensive Broadway production in history, and also once held the box office record for Broadway sales in one week, taking in $2.9 million over nine performances. The production closed on January 4, 2014."
113,Positive,Spring Awakening,"Spring Awakening is a rock musical with music by Duncan Sheik and a book and lyrics by Steven Sater. It is based on the 1891 German play Spring Awakening by Frank Wedekind. Set in late 19th-century Germany, the musical tells the story of teenagers discovering the inner and outer tumult of teenage sexuality. In the musical, alternative rock is employed as part of the folk-infused rock score.
Following its conception in the late 1990s and various workshops, concerts, rewrites and its Off-Broadway debut, the original Broadway production of Spring Awakening opened at the Eugene O'Neill Theatre on December 10, 2006. Its cast included Jonathan Groff, Lea Michele, Skylar Astin and John Gallagher Jr. while its creative team comprised director Michael Mayer and choreographer Bill T. Jones. The original Broadway production won eight Tony Awards, including Tonys for Best Musical, Direction, Book, Score and Featured Actor. The production also garnered four Drama Desk Awards, while its original cast album received a Grammy Award. In addition, the show was revived in 2015 on Broadway and garnered three Tony Award nominations, among other honors.
The success of the Broadway production has spawned several other productions worldwide, including various US productions, a short West End production that won four Laurence Olivier Awards including Best New Musical, and a series of international productions."
114,Neutral,Sunday In The Park With George '08,"Sunday in the Park with George is a musical with music and lyrics by Stephen Sondheim and book by James Lapine. It was inspired by the French pointillist painter Georges Seurat's painting A Sunday Afternoon on the Island of La Grande Jatte. The plot revolves around George, a fictionalized version of Seurat, who immerses himself deeply in painting his masterpiece, and his great-grandson (also named George), a conflicted and cynical contemporary artist. The Broadway production opened in 1984.
The musical won the 1985 Pulitzer Prize for Drama, two Tony Awards for design (and a nomination for Best Musical), numerous Drama Desk Awards, the 1991 Olivier Award for Best Musical and the 2007 Olivier Award for Outstanding Musical Production. It has enjoyed several major revivals, including the 2005-06 UK production first presented at the Menier Chocolate Factory and its subsequent 2008 Broadway transfer."
115,Neutral,The 25Th Annual Putnam County Spelling Bee,"The 25th Annual Putnam County Spelling Bee is a musical comedy with music and lyrics by William Finn, a book by Rachel Sheinkin, conceived by Rebecca Feldman with additional material by Jay Reiss. The show centers on a fictional spelling bee set in a geographically ambiguous Putnam Valley Middle School. Six quirky adolescents compete in the Bee, run by three equally quirky grown-ups.
The 2005 Broadway production, directed by James Lapine and produced by David Stone, James L. Nederlander, Barbara Whitman, Patrick Catullo, Barrington Stage Company and Second Stage Theater, earned good reviews and box-office success and was nominated for six Tony Awards, winning two, including Best Book. The show has spawned various other productions in the United States, and other countries.
An unusual aspect of the show is that four real audience members are invited on stage to compete in the spelling bee alongside the six young characters. During the 2005 Tony Awards, former Presidential candidate Al Sharpton competed. Another amusing aspect of the show is that the official pronouncer, usually an improv comedian, provides ridiculous usage-in-a-sentence examples when asked to use words in a sentence. For instance, for the word ""palaestra"", he says, ""Euripides said, 'What happens at the palaestra stays at the palaestra.'""  At some shows, adult-only audiences (over age 16) are invited for ""Parent-Teacher Conferences,"" also known as ""adult night at the Bee.""  These performances are peppered with sexual references and profanity inspired by R-rated ad-libs made during rehearsals.
The Broadway cast album was released on May 31, 2005 and is available from Ghostlight Records, an imprint of Sh-K-Boom Records. The original Broadway cast recording was nominated for a Grammy Award."
116,Neutral,The Addams Family,"The Addams Family is a  musical comedy with music and lyrics by Andrew Lippa and the book by Marshall Brickman and Rick Elice. The show is based upon The Addams Family characters created by Charles Addams in his single-panel gag cartoons, which depict a ghoulish American family with an affinity for all things macabre. Although numerous film and television adaptations of Addams' cartoons exist, the musical is the first stage show based on the characters. The Addams Family is also the first show produced by Elephant Eye Theatricals.After a tryout in Chicago in 2009, the musical opened on Broadway in April 2010. The original cast featured Nathan Lane as Gomez and Bebe Neuwirth as Morticia.  The production closed on December 31, 2011.
A revised national tour of North America began in September 2011. The production has won numerous awards including the Drama League Award and Drama Desk Award, as well as the Chicago production winning the Jeff Award, and has been nominated for several others.
The UK premiere of The Addams Family was announced on 5 September 2016, and opened at the Edinburgh Festival Theatre in Edinburgh in April 2017 before embarking on a major UK tour."
